date,open,high,low,close,volume,symbol,source,download_timestamp_market,asset,adractcnt,feetotntv,txcnt,download_timestamp_onchain,sma_20,ema_20,rsi_14,macd,macd_signal,bb_upper,bb_lower,bb_width
2024-09-27,65176.39,66550.0,64827.85,65789.0,9529.0168808,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,751618,10.96442965,434448,2025-06-29 17:05:04.117435,60992.98100000001,61957.196677577136,66.45329622041072,1575.1537106019387,1019.5242413333823,67016.05545553153,54969.90654446848,12046.14891106305
2024-09-28,65787.53,66266.39,65400.0,65858.99,2755.22680581,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,649697,9.9366052,521838,2025-06-29 17:05:04.117435,61541.875,62328.79604161741,66.62989438780886,1681.167430439098,1151.8528791545255,67228.42955415849,55855.32044584152,11373.109108316967
2024-09-29,65857.33,66059.0,65433.29,65600.01,2721.35197741,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,680061,7.51745261,685081,2025-06-29 17:05:04.117435,61969.1805,62640.34022813004,65.26089183041547,1724.4086362324451,1266.3640305701094,67525.42480273,56412.93619727,11112.488605460007
2024-09-30,65600.01,65624.95,62833.95,63301.25,10629.74147917,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,732082,7.39176461,593815,2025-06-29 17:05:04.117435,62251.9635,62703.28401592718,54.54760134528079,1555.2588272530702,1324.1429899067016,67464.27399722593,57039.65300277406,10424.62099445187
2024-10-01,63305.52,64106.75,60150.89,60790.0,15970.80295516,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,863700,7.89629034,624352,2025-06-29 17:05:04.117435,62423.824,62521.06649060078,45.71805102518964,1204.6826654914184,1300.250925023645,67185.87438319596,57661.77361680404,9524.100766391915
2024-10-02,60792.63,62380.34,59969.2,60631.37,8764.03050337,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,711643,6.8074531,599545,2025-06-29 17:05:04.117435,62548.515499999994,62341.09539625785,45.22011375226645,903.6319100885084,1220.927122036618,66973.79109979034,58123.23990020965,8850.551199580688
2024-10-03,60631.36,61474.92,59824.87,60744.99,7834.55718072,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,737116,7.60769711,574536,2025-06-29 17:05:04.117435,62558.597499999996,62189.085358519005,45.676496109207896,666.531837791772,1110.0480651876487,66966.43831570055,58150.756684299435,8815.681631401116
2024-10-04,60745.0,62481.0,60454.5,62090.71,7884.21831808,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,784413,7.36742345,571667,2025-06-29 17:05:04.117435,62662.5155,62179.71627675529,50.89469620403124,580.5247516585296,1004.143402481825,66920.7984086311,58404.2325913689,8516.565817262206
2024-10-05,62090.7,62380.04,61686.34,62051.29,1783.56564961,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,608641,11.98735357,759113,2025-06-29 17:05:04.117435,62808.96349999999,62167.4852027786,50.740938090308084,503.3800003956276,903.9907220645855,66760.58619335166,58857.34080664833,7903.2453867033255
2024-10-06,62051.29,62978.75,61805.85,62810.86,2086.21821773,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,610738,9.89011969,744069,2025-06-29 17:05:04.117435,63039.068999999996,62228.75899299016,53.6468386087811,497.79491037033586,822.7515597257357,66381.39388192228,59696.7441180777,6684.64976384458
