asset,time,AdrActCnt,FeeTotNtv,TxCnt,download_timestamp
btc,2024-07-23 00:00:00+00:00,671794,11.31611274,827733,2025-06-29 16:50:53.838759
btc,2024-07-24 00:00:00+00:00,681137,10.18503466,601149,2025-06-29 16:50:53.838759
btc,2024-07-25 00:00:00+00:00,713877,10.72105675,708129,2025-06-29 16:50:53.838759
btc,2024-07-26 00:00:00+00:00,715636,10.48366546,458448,2025-06-29 16:50:53.838759
btc,2024-07-27 00:00:00+00:00,694649,10.11460275,454253,2025-06-29 16:50:53.838759
btc,2024-07-28 00:00:00+00:00,578686,8.1296834,756828,2025-06-29 16:50:53.838759
btc,2024-07-29 00:00:00+00:00,794379,10.87533798,821955,2025-06-29 16:50:53.838759
btc,2024-07-30 00:00:00+00:00,673555,9.78754169,670957,2025-06-29 16:50:53.838759
btc,2024-07-31 00:00:00+00:00,740485,10.54679916,578053,2025-06-29 16:50:53.838759
btc,2024-08-01 00:00:00+00:00,772675,9.41985937,532152,2025-06-29 16:50:53.838759
btc,2024-08-02 00:00:00+00:00,764749,8.9817149,410307,2025-06-29 16:50:53.838759
btc,2024-08-03 00:00:00+00:00,692352,8.04342189,502369,2025-06-29 16:50:53.838759
btc,2024-08-04 00:00:00+00:00,668340,7.22564665,526479,2025-06-29 16:50:53.838759
btc,2024-08-05 00:00:00+00:00,817104,9.5054762,550851,2025-06-29 16:50:53.838759
btc,2024-08-06 00:00:00+00:00,729981,7.99507133,483465,2025-06-29 16:50:53.838759
btc,2024-08-07 00:00:00+00:00,714826,7.81753066,381999,2025-06-29 16:50:53.838759
btc,2024-08-08 00:00:00+00:00,722252,9.17395476,485878,2025-06-29 16:50:53.838759
btc,2024-08-09 00:00:00+00:00,705635,8.70616098,394215,2025-06-29 16:50:53.838759
btc,2024-08-10 00:00:00+00:00,594175,6.46378844,556497,2025-06-29 16:50:53.838759
btc,2024-08-11 00:00:00+00:00,630696,6.58820174,641944,2025-06-29 16:50:53.838759
btc,2024-08-12 00:00:00+00:00,714520,8.37945558,442326,2025-06-29 16:50:53.838759
btc,2024-08-13 00:00:00+00:00,706882,8.01615877,582647,2025-06-29 16:50:53.838759
